Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Julius Erving,PHI,5,177.0,91,34,82,.415,2,6,.333,21,25,.840,14,11,25,17,7,6,9,19,NBA 1986-1987 Playoffs Players Statistic
Alex English,DEN,3,76.0,56,25,49,.510,0,0,.000,6,7,.857,10,4,14,10,0,0,8,9,NBA 1986-1987 Playoffs Players Statistic
Dale Ellis,SEA,14,530.0,353,148,304,.487,13,36,.361,44,54,.815,37,53,90,37,10,6,33,54,NBA 1986-1987 Playoffs Players Statistic
Mark Eaton,UTA,5,193.0,54,19,41,.463,0,0,.000,16,25,.640,16,39,55,3,1,21,4,18,NBA 1986-1987 Playoffs Players Statistic
T.R. Dunn,DEN,3,22.0,2,1,4,.250,0,0,.000,0,0,.000,1,2,3,2,1,1,1,3,NBA 1986-1987 Playoffs Players Statistic
Joe Dumars,DET,15,473.0,190,78,145,.538,2,3,.667,32,41,.780,8,11,19,72,12,1,27,26,NBA 1986-1987 Playoffs Players Statistic
Kevin Duckworth,POR,4,53.0,14,6,12,.500,0,0,.000,2,5,.400,3,5,8,1,4,1,6,14,NBA 1986-1987 Playoffs Players Statistic
Clyde Drexler,POR,4,153.0,96,36,79,.456,1,4,.250,23,29,.793,16,14,30,15,7,3,6,16,NBA 1986-1987 Playoffs Players Statistic
James Donaldson,DAL,3,68.0,16,4,5,.800,0,0,.000,8,9,.889,2,15,17,2,1,3,2,6,NBA 1986-1987 Playoffs Players Statistic
Darren Daye,BOS,23,240.0,116,42,72,.583,0,0,.000,32,37,.865,11,21,32,13,9,3,18,33,NBA 1986-1987 Playoffs Players Statistic
Brad Davis,DAL,4,75.0,33,13,23,.565,0,2,.000,7,9,.778,2,7,9,17,0,0,6,4,NBA 1986-1987 Playoffs Players Statistic
Adrian Dantley,DET,15,500.0,308,111,206,.539,0,0,.000,86,111,.775,29,39,68,35,13,0,33,36,NBA 1986-1987 Playoffs Players Statistic
Dell Curry,UTA,2,4.0,0,0,3,.000,0,1,.000,0,0,.000,0,0,0,0,0,0,0,1,NBA 1986-1987 Playoffs Players Statistic
Terry Cummings,MIL,12,443.0,267,105,215,.488,0,0,.000,57,83,.687,29,66,95,28,12,13,15,51,NBA 1986-1987 Playoffs Players Statistic
Dave Corzine,CHI,3,122.0,27,10,22,.455,0,0,.000,7,9,.778,7,14,21,7,1,3,7,6,NBA 1986-1987 Playoffs Players Statistic
Wayne Cooper,DEN,3,41.0,12,5,12,.417,0,0,.000,2,2,1.000,6,11,17,2,0,1,1,9,NBA 1986-1987 Playoffs Players Statistic
Michael Cooper,LAL,18,522.0,234,77,159,.484,34,70,.486,46,54,.852,8,51,59,90,25,14,37,46,NBA 1986-1987 Playoffs Players Statistic
Darwin Cook,WAS,3,41.0,14,6,24,.250,1,2,.500,1,2,.500,4,3,7,3,4,0,0,4,NBA 1986-1987 Playoffs Players Statistic
Steve Colter,PHI,2,8.0,2,1,2,.500,0,0,.000,0,0,.000,0,0,0,2,0,0,0,1,NBA 1986-1987 Playoffs Players Statistic
Mo Cheeks,PHI,5,210.0,88,35,66,.530,0,1,.000,18,21,.857,1,12,13,44,9,4,12,14,NBA 1986-1987 Playoffs Players Statistic
Tom Chambers,SEA,14,499.0,322,118,263,.449,6,18,.333,80,99,.808,32,58,90,32,12,13,34,51,NBA 1986-1987 Playoffs Players Statistic
Terry Catledge,WAS,3,98.0,55,23,41,.561,0,0,.000,9,17,.529,7,18,25,0,3,1,7,5,NBA 1986-1987 Playoffs Players Statistic
Joe Barry Carroll,GSW,10,334.0,189,74,163,.454,0,1,.000,41,51,.804,16,49,65,19,14,25,31,42,NBA 1986-1987 Playoffs Players Statistic
Antoine Carr,ATL,9,162.0,104,39,56,.696,0,0,.000,26,32,.813,11,16,27,13,3,8,10,36,NBA 1986-1987 Playoffs Players Statistic
Tony Campbell,DET,4,13.0,9,3,6,.500,1,1,1.000,2,2,1.000,0,5,5,0,0,0,0,1,NBA 1986-1987 Playoffs Players Statistic
Mike Brown,CHI,1,3.0,0,0,1,.000,0,0,.000,0,0,.000,0,0,0,0,1,0,1,1,NBA 1986-1987 Playoffs Players Statistic
Randy Breuer,MIL,12,156.0,40,16,33,.485,0,0,.000,8,12,.667,9,22,31,4,7,9,4,32,NBA 1986-1987 Playoffs Players Statistic
Adrian Branch,LAL,11,42.0,14,4,21,.190,0,1,.000,6,12,.500,3,7,10,5,2,0,5,10,NBA 1986-1987 Playoffs Players Statistic
Dudley Bradley,MIL,12,46.0,9,4,11,.364,0,6,.000,1,2,.500,0,0,0,2,3,0,1,9,NBA 1986-1987 Playoffs Players Statistic
Manute Bol,WAS,3,43.0,8,4,10,.400,0,1,.000,0,2,.000,5,4,9,0,0,5,0,6,NBA 1986-1987 Playoffs Players Statistic
Rolando Blackman,DAL,4,153.0,94,36,73,.493,0,1,.000,22,24,.917,4,10,14,17,2,0,8,7,NBA 1986-1987 Playoffs Players Statistic
