Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Allan Bristow,SAS,82,"2,017.0",936,365,747,.489,-,-,-,206,258,.798,119,229,348,240,89,2,-,195,NBA 1976-1977 Regular_Season Players Statistic
Junior Bridgeman,MIL,82,"2,410.0","1,179",491,"1,094",.449,-,-,-,197,228,.864,129,287,416,205,82,26,-,221,NBA 1976-1977 Regular_Season Players Statistic
Jim Brewer,CLE,81,"2,672.0",689,296,657,.451,-,-,-,97,178,.545,275,487,762,195,94,82,-,214,NBA 1976-1977 Regular_Season Players Statistic
Bill Bradley,NYK,67,"1,027.0",288,127,274,.464,-,-,-,34,42,.810,27,76,103,128,25,8,-,122,NBA 1976-1977 Regular_Season Players Statistic
Freddie Boyd,NOJ,47,"1,212.0",467,194,406,.478,-,-,-,79,98,.806,19,71,90,147,44,6,-,78,NBA 1976-1977 Regular_Season Players Statistic
Tom Boswell,BOS,70,"1,083.0",446,175,340,.515,-,-,-,96,135,.711,111,195,306,85,27,8,-,237,NBA 1976-1977 Regular_Season Players Statistic
Ron Boone,KCK,82,"3,021.0","1,818",747,"1,577",.474,-,-,-,324,384,.844,128,193,321,338,119,19,-,258,NBA 1976-1977 Regular_Season Players Statistic
Tom Boerwinkle,CHI,82,"1,070.0",302,134,273,.491,-,-,-,34,63,.540,101,211,312,189,19,19,-,147,NBA 1976-1977 Regular_Season Players Statistic
Dave Bing,WAS,64,"1,516.0",678,271,597,.454,-,-,-,136,176,.773,54,89,143,275,61,5,-,150,NBA 1976-1977 Regular_Season Players Statistic
Bob Bigelow,KCK,29,162.0,85,35,70,.500,-,-,-,15,17,.882,8,19,27,8,3,1,-,17,NBA 1976-1977 Regular_Season Players Statistic
Henry Bibby,PHI,81,"2,639.0",825,302,702,.430,-,-,-,221,282,.784,86,187,273,356,108,5,-,200,NBA 1976-1977 Regular_Season Players Statistic
Mel Bennett,IND,67,911.0,314,101,294,.344,-,-,-,112,187,.599,110,127,237,70,37,33,-,155,NBA 1976-1977 Regular_Season Players Statistic
Ron Behagen,NOJ,60,"1,170.0",516,213,509,.418,-,-,-,90,126,.714,144,287,431,83,41,19,-,166,NBA 1976-1977 Regular_Season Players Statistic
Byron Beck,DEN,53,480.0,250,107,246,.435,-,-,-,36,44,.818,45,51,96,33,15,1,-,59,NBA 1976-1977 Regular_Season Players Statistic
