#,Player,Pos,HT,WT,Age,Teams,YOS,Pre-Draft Team,Draft Status,Nationality,Title
10,Daniel Theis,C,6-8,245,31,Los Angeles Clippers,6,Ratiopharm Ulm (Germany),"2013 NBA Draft, Undrafted",Germany,NBA 2023-2024 Players Information
24,Cam Thomas,PG,6-3,210,22,Brooklyn Nets,2,LSU,2021 Rnd 1 Pick 27,United States,NBA 2023-2024 Players Information
4,Isaiah Thomas,PG,5-9,185,35,Phoenix Suns,11,Washington,2011 Rnd 2 Pick 30,United States,NBA 2023-2024 Players Information
1,Amen Thompson,G,6-7,200,21,Houston Rockets,0,Overtime Elite (Georgia),2023 Rnd 1 Pick 4,United States,NBA 2023-2024 Players Information
9,Ausar Thompson,G,6-6,205,21,Detroit Pistons,0,Overtime Elite (Georgia),2023 Rnd 1 Pick 5,United States,NBA 2023-2024 Players Information
11,Klay Thompson,G,6-6,220,34,Golden State Warriors,12,Washington State,2011 Rnd 1 Pick 11,United States,NBA 2023-2024 Players Information
13,Tristan Thompson,F,6-9,254,33,Cleveland Cavaliers,12,Texas,2011 Rnd 1 Pick 4,Canada,NBA 2023-2024 Players Information
21,J.T. Thor,PF,6-9,203,21,Charlotte Hornets,2,Auburn,2021 Rnd 2 Pick 7,United States,NBA 2023-2024 Players Information
4,Matisse Thybulle,SF,6-5,201,27,Portland Trail Blazers,4,Washington,2019 Rnd 1 Pick 20,United StatesAustralia,NBA 2023-2024 Players Information
26,"Xavier Tillman, Sr.",PF,6-7,245,25,Boston Celtics,3,Michigan State,2020 Rnd 2 Pick 5,United States,NBA 2023-2024 Players Information
00,Jacob Toppin,SF,6-8,200,23,New York Knicks,0,Kentucky,"2023 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
1,Obi Toppin,F,6-9,220,26,Indiana Pacers,3,Dayton,2020 Rnd 1 Pick 8,United States,NBA 2023-2024 Players Information
32,Karl-Anthony Towns,C,7-0,248,28,Minnesota Timberwolves,8,Kentucky,2015 Rnd 1 Pick 1,United StatesDominican Republic,NBA 2023-2024 Players Information
33,"Gary Trent, Jr.",SG,6-5,204,25,Toronto Raptors,5,Duke,2018 Rnd 2 Pick 7,United States,NBA 2023-2024 Players Information
44,Oscar Tshiebwe,F,6-8,255,24,Indiana Pacers,0,Kentucky,"2023 NBA Draft, Undrafted",Democratic Republic of the Congo,NBA 2023-2024 Players Information
17,P.J. Tucker,SF,6-5,245,38,Los Angeles Clippers,12,Texas,2006 Rnd 2 Pick 5,United States,NBA 2023-2024 Players Information
33,Myles Turner,FC,6-11,250,28,Indiana Pacers,8,Texas,2015 Rnd 1 Pick 11,United States,NBA 2023-2024 Players Information
4,Hunter Tyson,SF,6-8,215,23,Denver Nuggets,0,Clemson,2023 Rnd 2 Pick 7,United States,NBA 2023-2024 Players Information
17,Stanley Umude,G,6-6,210,24,Detroit Pistons,1,Arkansas,"2022 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
17,Jonas Valanciunas,C,6-11,265,31,New Orleans Pelicans,11,Lietuvos Rytas (Lithuania),2011 Rnd 1 Pick 5,Lithuania,NBA 2023-2024 Players Information
5,Fred VanVleet,G,6-0,197,30,Houston Rockets,7,Wichita State,"2016 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
2,Jarred Vanderbilt,PF,6-8,214,24,Los Angeles Lakers,5,Kentucky,2018 Rnd 2 Pick 11,United States,NBA 2023-2024 Players Information
24,Devin Vassell,SG,6-5,200,23,San Antonio Spurs,3,Florida State,2020 Rnd 1 Pick 11,United States,NBA 2023-2024 Players Information
7,Sasha Vezenkov,PF,6-8,225,28,Sacramento Kings,0,FC Barcelona II (Spain),2017 Rnd 2 Pick 27,CyprusBulgaria,NBA 2023-2024 Players Information
7,Gabe Vincent,G,6-2,200,27,Los Angeles Lakers,4,UC Santa Barbara,"2018 NBA Draft, Undrafted",United StatesNigeria,NBA 2023-2024 Players Information
9,Nikola Vucevic,PF,6-10,260,33,Chicago Bulls,12,USC,2011 Rnd 1 Pick 16,SwitzerlandMontenegro,NBA 2023-2024 Players Information
00,Tristan Vukcevic,F,6-10,220,21,Washington Wizards,0,KK Partizan (Serbia),2023 Rnd 2 Pick 12,ItalySerbia,NBA 2023-2024 Players Information
32,Dean Wade,PF,6-9,228,27,Cleveland Cavaliers,4,Kansas State,"2019 NBA Draft, Undrafted",United States,NBA 2023-2024 Players Information
22,Franz Wagner,SF,6-10,220,22,Orlando Magic,2,Michigan,2021 Rnd 1 Pick 8,Germany,NBA 2023-2024 Players Information
21,Moe Wagner,PF,6-11,245,26,Orlando Magic,5,Michigan,2018 Rnd 1 Pick 25,Germany,NBA 2023-2024 Players Information
