Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Steve Nash,PHX,15,610.0,358,140,269,0.52,21,54,0.389,57,62,0.919,9,63,72,170,14,3,70,36,NBA 2004-2005 Playoffs Players Statistic
Eduardo Najera,DEN,2,13.0,0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,NBA 2004-2005 Playoffs Players Statistic
Dikembe Mutombo,HOU,7,101.0,22,6,11,0.545,0,0,0.0,10,13,0.769,11,24,35,2,2,7,7,15,NBA 2004-2005 Playoffs Players Statistic
Flip Murray,SEA,4,62.0,12,4,19,0.211,0,2,0.0,4,7,0.571,2,4,6,5,0,2,2,8,NBA 2004-2005 Playoffs Players Statistic
Alonzo Mourning,MIA,15,254.0,91,31,44,0.705,0,0,0.0,29,52,0.558,21,51,72,5,5,33,22,49,NBA 2004-2005 Playoffs Players Statistic
Nazr Mohammed,SAS,23,528.0,163,66,125,0.528,1,1,1.0,30,47,0.638,75,79,154,8,14,23,24,65,NBA 2004-2005 Playoffs Players Statistic
Cuttino Mobley,SAC,5,159.0,74,31,70,0.443,7,25,0.28,5,7,0.714,4,10,14,9,6,2,6,13,NBA 2004-2005 Playoffs Players Statistic
Yao Ming,HOU,7,220.0,150,55,84,0.655,0,0,0.0,40,55,0.727,23,31,54,5,2,19,19,31,NBA 2004-2005 Playoffs Players Statistic
Reggie Miller,IND,13,430.0,193,62,143,0.434,21,66,0.318,48,51,0.941,4,36,40,20,10,1,21,28,NBA 2004-2005 Playoffs Players Statistic
Mike Miller,MEM,4,110.0,48,18,37,0.486,8,17,0.471,4,4,1.0,0,10,10,11,0,3,5,7,NBA 2004-2005 Playoffs Players Statistic
Brad Miller,SAC,5,139.0,56,23,40,0.575,0,2,0.0,10,14,0.714,8,11,19,16,1,3,9,21,NBA 2004-2005 Playoffs Players Statistic
Andre Miller,DEN,5,184.0,81,28,66,0.424,2,4,0.5,23,32,0.719,9,17,26,26,10,1,12,22,NBA 2004-2005 Playoffs Players Statistic
Darko Milicic,DET,9,21.0,5,2,7,0.286,0,0,0.0,1,1,1.0,1,3,4,1,0,1,1,3,NBA 2004-2005 Playoffs Players Statistic
Aaron McKie,PHI,5,83.0,7,3,7,0.429,1,3,0.333,0,0,0.0,1,11,12,5,4,0,1,9,NBA 2004-2005 Playoffs Players Statistic
Tracy McGrady,HOU,7,301.0,215,78,171,0.456,17,46,0.37,42,51,0.824,12,40,52,47,11,10,26,20,NBA 2004-2005 Playoffs Players Statistic
Antonio McDyess,DET,25,494.0,201,88,181,0.486,0,0,0.0,25,36,0.694,46,101,147,19,14,23,25,78,NBA 2004-2005 Playoffs Players Statistic
Walter McCarty,PHX,8,55.0,6,2,9,0.222,2,6,0.333,0,2,0.0,0,6,6,3,2,2,1,13,NBA 2004-2005 Playoffs Players Statistic
Tony Massenburg,SAS,9,28.0,3,1,6,0.167,0,0,0.0,1,2,0.5,4,7,11,0,0,0,0,2,NBA 2004-2005 Playoffs Players Statistic
Kenyon Martin,DEN,5,164.0,62,27,58,0.466,0,1,0.0,8,13,0.615,7,21,28,6,5,5,7,22,NBA 2004-2005 Playoffs Players Statistic
Shawn Marion,PHX,15,635.0,264,108,223,0.484,18,43,0.419,30,39,0.769,46,131,177,23,21,26,21,47,NBA 2004-2005 Playoffs Players Statistic
Rashard Lewis,SEA,8,312.0,135,43,106,0.406,5,25,0.2,44,50,0.88,11,32,43,13,3,3,16,25,NBA 2004-2005 Playoffs Players Statistic
Raef LaFrentz,BOS,7,185.0,48,16,41,0.39,8,16,0.5,8,10,0.8,6,28,34,8,6,12,7,27,NBA 2004-2005 Playoffs Players Statistic
Christian Laettner,MIA,13,136.0,29,12,24,0.5,0,1,0.0,5,6,0.833,3,22,25,7,4,0,6,17,NBA 2004-2005 Playoffs Players Statistic
Nenad Krstic,NJN,4,154.0,73,27,48,0.563,0,0,0.0,19,24,0.792,10,20,30,7,1,2,6,20,NBA 2004-2005 Playoffs Players Statistic
Kyle Korver,PHI,5,146.0,25,8,28,0.286,7,24,0.292,2,2,1.0,3,10,13,8,4,1,8,18,NBA 2004-2005 Playoffs Players Statistic
Jason Kidd,NJN,4,182.0,69,26,67,0.388,11,30,0.367,6,11,0.545,10,26,36,29,10,0,9,16,NBA 2004-2005 Playoffs Players Statistic
James Jones,IND,13,214.0,52,19,46,0.413,10,25,0.4,4,9,0.444,5,22,27,10,7,7,4,18,NBA 2004-2005 Playoffs Players Statistic
Fred Jones,IND,13,234.0,53,16,54,0.296,9,23,0.391,12,13,0.923,1,22,23,13,8,2,15,13,NBA 2004-2005 Playoffs Players Statistic
Eddie Jones,MIA,15,601.0,205,71,156,0.455,32,80,0.4,31,42,0.738,10,77,87,39,18,9,22,57,NBA 2004-2005 Playoffs Players Statistic
