Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Dikembe Mutombo,PHI,75,"2,591.0",749,269,556,0.484,0,0,0.0,211,291,0.725,307,708,"1,015",76,29,203,144,204,NBA 2000-2001 Regular_Season Players Statistic
Tracy Murray,TOR,51,588.0,257,94,248,0.379,36,103,0.35,33,42,0.786,22,59,81,23,12,7,26,53,NBA 2000-2001 Regular_Season Players Statistic
Lamond Murray,CLE,78,"2,225.0",998,391,925,0.423,61,165,0.37,155,211,0.735,104,236,340,124,83,27,141,173,NBA 2000-2001 Regular_Season Players Statistic
Chris Mullin,GSW,20,374.0,115,36,106,0.34,19,52,0.365,24,28,0.857,10,31,41,19,16,10,19,28,NBA 2000-2001 Regular_Season Players Statistic
Alonzo Mourning,MIA,13,306.0,177,73,141,0.518,0,1,0.0,31,55,0.564,35,66,101,12,4,31,28,24,NBA 2000-2001 Regular_Season Players Statistic
Hanno Mottola,ATL,73,989.0,319,123,277,0.444,0,3,0.0,73,90,0.811,49,125,174,25,11,9,67,163,NBA 2000-2001 Regular_Season Players Statistic
Mikki Moore,DET,81,"1,154.0",359,132,268,0.493,0,1,0.0,95,130,0.731,121,195,316,33,24,61,74,202,NBA 2000-2001 Regular_Season Players Statistic
Eric Montross,TOR,54,649.0,120,56,138,0.406,0,0,0.0,8,31,0.258,52,121,173,19,11,26,41,115,NBA 2000-2001 Regular_Season Players Statistic
Jerome Moiso,BOS,24,135.0,35,12,30,0.4,0,1,0.0,11,26,0.423,12,30,42,3,3,4,18,29,NBA 2000-2001 Regular_Season Players Statistic
Nazr Mohammed,ATL,58,912.0,441,176,369,0.477,0,1,0.0,89,126,0.706,115,192,307,19,29,35,64,113,NBA 2000-2001 Regular_Season Players Statistic
Cuttino Mobley,HOU,79,"3,002.0","1,538",527,"1,214",0.434,90,252,0.357,394,474,0.831,83,314,397,195,84,26,165,169,NBA 2000-2001 Regular_Season Players Statistic
Sam Mitchell,MIN,82,983.0,285,118,289,0.408,9,43,0.209,40,55,0.727,28,95,123,57,26,10,36,117,NBA 2000-2001 Regular_Season Players Statistic
Terry Mills,IND,14,113.0,25,11,34,0.324,3,17,0.176,0,0,0.0,4,17,21,5,3,1,10,20,NBA 2000-2001 Regular_Season Players Statistic
Chris Mills,GSW,15,493.0,180,71,191,0.372,7,25,0.28,31,36,0.861,24,69,93,18,9,5,20,43,NBA 2000-2001 Regular_Season Players Statistic
Reggie Miller,IND,81,"3,181.0","1,527",517,"1,176",0.44,170,464,0.366,323,348,0.928,38,247,285,260,81,15,133,162,NBA 2000-2001 Regular_Season Players Statistic
Pig Miller,PHI,4,11.0,2,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,NBA 2000-2001 Regular_Season Players Statistic
Mike Miller,ORL,82,"2,389.0",975,368,845,0.436,148,364,0.407,91,128,0.711,66,261,327,140,51,19,97,200,NBA 2000-2001 Regular_Season Players Statistic
Brad Miller,CHI,57,"1,434.0",505,168,386,0.435,1,5,0.2,168,226,0.743,144,275,419,107,33,38,73,176,NBA 2000-2001 Regular_Season Players Statistic
Andre Miller,CLE,82,"2,848.0","1,296",452,999,0.452,17,64,0.266,375,450,0.833,94,266,360,657,119,28,265,229,NBA 2000-2001 Regular_Season Players Statistic
Darius Miles,LAC,81,"2,133.0",761,318,630,0.505,1,19,0.053,124,238,0.521,127,350,477,99,51,125,147,191,NBA 2000-2001 Regular_Season Players Statistic
Chris Mihm,CLE,59,"1,166.0",446,173,391,0.442,0,1,0.0,100,126,0.794,106,174,280,16,20,53,80,156,NBA 2000-2001 Regular_Season Players Statistic
Ron Mercer,CHI,61,"2,535.0","1,202",500,"1,121",0.446,14,46,0.304,188,228,0.825,72,164,236,201,78,27,129,148,NBA 2000-2001 Regular_Season Players Statistic
Slava Medvedenko,LAL,7,39.0,32,12,25,0.48,1,1,1.0,7,12,0.583,1,8,9,2,1,1,3,9,NBA 2000-2001 Regular_Season Players Statistic
Paul McPherson,GSW,55,596.0,262,109,216,0.505,2,12,0.167,42,58,0.724,40,39,79,38,25,4,47,80,NBA 2000-2001 Regular_Season Players Statistic
Roshown McLeod,PHI,35,922.0,337,145,332,0.437,2,22,0.091,45,51,0.882,38,82,120,58,23,8,58,90,NBA 2000-2001 Regular_Season Players Statistic
Aaron McKie,PHI,76,"2,394.0",878,338,714,0.473,53,170,0.312,149,194,0.768,33,278,311,377,106,8,203,178,NBA 2000-2001 Regular_Season Players Statistic
Derrick McKey,IND,66,987.0,145,60,136,0.441,4,20,0.2,21,27,0.778,49,127,176,74,48,13,47,136,NBA 2000-2001 Regular_Season Players Statistic
Jeff McInnis,LAC,81,"2,830.0","1,046",432,933,0.463,52,144,0.361,130,161,0.807,41,179,220,447,75,7,113,199,NBA 2000-2001 Regular_Season Players Statistic
Jim McIlvaine,NJN,18,193.0,28,10,28,0.357,0,0,0.0,8,12,0.667,8,27,35,4,7,15,9,35,NBA 2000-2001 Regular_Season Players Statistic
Tracy McGrady,ORL,77,"3,088.0","2,065",788,"1,724",0.457,59,166,0.355,430,587,0.733,192,388,580,352,116,118,198,160,NBA 2000-2001 Regular_Season Players Statistic
Antonio McDyess,DEN,70,"2,555.0","1,458",577,"1,165",0.495,0,0,0.0,304,434,0.7,240,605,845,146,43,102,162,220,NBA 2000-2001 Regular_Season Players Statistic
Jelani McCoy,SEA,70,"1,143.0",317,138,264,0.523,0,0,0.0,41,93,0.441,92,159,251,57,18,49,75,141,NBA 2000-2001 Regular_Season Players Statistic
George McCloud,DEN,76,"2,007.0",729,250,655,0.382,77,234,0.329,152,181,0.84,55,169,224,279,53,27,117,165,NBA 2000-2001 Regular_Season Players Statistic
Dan McClintock,DEN,6,58.0,18,9,18,0.5,0,0,0.0,0,5,0.0,10,7,17,1,0,2,3,11,NBA 2000-2001 Regular_Season Players Statistic
Walter McCarty,BOS,60,478.0,131,45,126,0.357,19,56,0.339,22,28,0.786,24,57,81,39,14,7,20,82,NBA 2000-2001 Regular_Season Players Statistic
Vernon Maxwell,DAL,43,660.0,201,73,223,0.327,34,111,0.306,21,32,0.656,4,62,66,49,21,3,35,64,NBA 2000-2001 Regular_Season Players Statistic
Tony Massenburg,VAN,52,823.0,233,92,199,0.462,0,0,0.0,49,70,0.7,75,135,210,9,10,28,48,122,NBA 2000-2001 Regular_Season Players Statistic
Desmond Mason,SEA,78,"1,522.0",463,189,439,0.431,18,67,0.269,67,91,0.736,72,177,249,63,39,20,53,146,NBA 2000-2001 Regular_Season Players Statistic
Anthony Mason,MIA,80,"3,254.0","1,290",460,954,0.482,0,0,0.0,370,474,0.781,169,601,770,248,80,25,179,231,NBA 2000-2001 Regular_Season Players Statistic
Jamal Mashburn,CHA,76,"2,989.0","1,528",573,"1,388",0.413,103,289,0.356,279,364,0.766,92,484,576,411,85,13,211,185,NBA 2000-2001 Regular_Season Players Statistic
Kenyon Martin,NJN,68,"2,272.0",814,346,777,0.445,1,11,0.091,121,192,0.63,137,365,502,131,78,113,138,281,NBA 2000-2001 Regular_Season Players Statistic
Darrick Martin,SAC,31,176.0,103,29,76,0.382,14,27,0.519,31,35,0.886,2,14,16,14,7,0,10,27,NBA 2000-2001 Regular_Season Players Statistic
Donyell Marshall,UTA,81,"2,326.0","1,100",427,849,0.503,41,128,0.32,205,273,0.751,172,394,566,133,85,78,128,196,NBA 2000-2001 Regular_Season Players Statistic
Shawn Marion,PHX,79,"2,857.0","1,369",557,"1,160",0.48,21,82,0.256,234,289,0.81,220,628,848,160,132,108,129,211,NBA 2000-2001 Regular_Season Players Statistic
Stephon Marbury,NJN,67,"2,557.0","1,598",563,"1,277",0.441,110,335,0.328,362,458,0.79,53,152,205,506,79,5,197,150,NBA 2000-2001 Regular_Season Players Statistic
Danny Manning,UTA,82,"1,305.0",603,247,500,0.494,7,28,0.25,102,140,0.729,66,148,214,92,47,29,96,219,NBA 2000-2001 Regular_Season Players Statistic
Matt Maloney,ATL,55,"1,403.0",369,146,348,0.42,51,142,0.359,26,34,0.765,14,103,117,154,56,5,70,94,NBA 2000-2001 Regular_Season Players Statistic
Karl Malone,UTA,81,"2,895.0","1,878",670,"1,345",0.498,2,5,0.4,536,676,0.793,114,555,669,361,93,62,244,216,NBA 2000-2001 Regular_Season Players Statistic
Dan Majerle,MIA,53,"1,306.0",267,87,259,0.336,57,181,0.315,36,44,0.818,20,146,166,88,53,15,35,98,NBA 2000-2001 Regular_Season Players Statistic
Jamaal Magloire,CHA,74,"1,095.0",339,122,271,0.45,0,2,0.0,95,145,0.655,103,192,295,27,18,78,61,139,NBA 2000-2001 Regular_Season Players Statistic
Corey Maggette,LAC,69,"1,359.0",690,225,487,0.462,17,56,0.304,223,288,0.774,88,203,291,82,35,9,106,140,NBA 2000-2001 Regular_Season Players Statistic
Mark Madsen,LAL,70,641.0,137,55,113,0.487,1,1,1.0,26,37,0.703,74,78,152,24,8,8,27,111,NBA 2000-2001 Regular_Season Players Statistic
Don MacLean,MIA,8,76.0,31,10,20,0.5,2,2,1.0,9,12,0.75,7,11,18,4,5,1,10,9,NBA 2000-2001 Regular_Season Players Statistic
Todd MacCulloch,PHI,63,597.0,260,109,185,0.589,0,0,0.0,42,66,0.636,69,99,168,10,7,19,27,96,NBA 2000-2001 Regular_Season Players Statistic
George Lynch,PHI,82,"2,651.0",686,274,616,0.445,15,57,0.263,123,171,0.719,200,390,590,139,99,30,109,222,NBA 2000-2001 Regular_Season Players Statistic
Tyronn Lue,LAL,38,468.0,130,50,117,0.427,11,34,0.324,19,24,0.792,5,27,32,45,19,0,27,54,NBA 2000-2001 Regular_Season Players Statistic
Felipe Lopez,MIN,70,"1,565.0",550,211,478,0.441,19,52,0.365,109,156,0.699,55,179,234,107,62,30,83,156,NBA 2000-2001 Regular_Season Players Statistic
Luc Longley,NYK,25,301.0,49,18,54,0.333,0,0,0.0,13,17,0.765,26,40,66,7,3,9,22,51,NBA 2000-2001 Regular_Season Players Statistic
Grant Long,VAN,66,"1,507.0",396,140,319,0.439,4,15,0.267,112,157,0.713,76,198,274,83,72,15,62,160,NBA 2000-2001 Regular_Season Players Statistic
Art Long,SAC,9,20.0,0,0,4,0.0,0,0,0.0,0,2,0.0,2,6,8,1,0,3,2,5,NBA 2000-2001 Regular_Season Players Statistic
Randy Livingston,GSW,2,7.0,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,NBA 2000-2001 Regular_Season Players Statistic
Rashard Lewis,SEA,78,"2,720.0","1,151",426,887,0.48,123,285,0.432,176,213,0.826,143,398,541,125,91,45,129,191,NBA 2000-2001 Regular_Season Players Statistic
Quincy Lewis,UTA,35,402.0,124,50,123,0.407,9,25,0.36,15,21,0.714,14,33,47,18,10,10,17,78,NBA 2000-2001 Regular_Season Players Statistic
Voshon Lenard,DEN,80,"2,331.0",972,336,846,0.397,147,382,0.385,153,192,0.797,47,184,231,190,65,18,102,170,NBA 2000-2001 Regular_Season Players Statistic
Dan Langhi,HOU,33,241.0,90,37,99,0.374,0,1,0.0,16,29,0.552,13,28,41,4,7,1,8,16,NBA 2000-2001 Regular_Season Players Statistic
