Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Aaron Craft,GSW,4,58.7,12,5,10,0.5,2,5,0.4,0,0,0.0,0,10,10,6,4,0,7,7,NBA 2014-2015 Preseason Players Statistic
Allen Crabbe,POR,7,85.1,34,12,19,0.632,4,8,0.5,6,8,0.75,0,6,6,4,2,1,3,4,NBA 2014-2015 Preseason Players Statistic
Robert Covington,HOU,1,4.3,3,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,0,0,0,1,3,NBA 2014-2015 Preseason Players Statistic
DeMarcus Cousins,SAC,6,141.4,109,37,58,0.638,0,0,0.0,35,59,0.593,8,38,46,14,9,9,33,20,NBA 2014-2015 Preseason Players Statistic
Bryce Cotton,SAS,5,56.7,24,8,18,0.444,2,7,0.286,6,6,1.0,1,3,4,7,1,0,6,8,NBA 2014-2015 Preseason Players Statistic
Chris Copeland,IND,6,140.0,72,24,52,0.462,16,35,0.457,8,10,0.8,4,16,20,10,3,5,4,11,NBA 2014-2015 Preseason Players Statistic
Jack Cooley,UTA,2,11.6,7,2,5,0.4,0,0,0.0,3,6,0.5,3,3,6,0,0,0,1,2,NBA 2014-2015 Preseason Players Statistic
Brian Cook,DET,2,5.7,4,1,2,0.5,0,0,0.0,2,2,1.0,1,0,1,0,0,0,1,3,NBA 2014-2015 Preseason Players Statistic
Mike Conley,MEM,7,148.6,62,21,51,0.412,6,19,0.316,14,17,0.824,3,9,12,24,7,0,9,6,NBA 2014-2015 Preseason Players Statistic
Nick Collison,OKC,1,11.1,8,3,3,1.0,2,2,1.0,0,0,0.0,0,0,0,1,0,1,1,1,NBA 2014-2015 Preseason Players Statistic
Darren Collison,SAC,7,175.5,85,29,56,0.518,8,11,0.727,19,27,0.704,4,15,19,32,2,3,11,14,NBA 2014-2015 Preseason Players Statistic
Norris Cole,MIA,8,174.5,60,22,43,0.512,5,14,0.357,11,14,0.786,2,12,14,25,9,0,8,15,NBA 2014-2015 Preseason Players Statistic
Jake Cohen,MTA,2,30.2,7,1,8,0.125,0,3,0.0,5,6,0.833,5,1,6,0,1,1,2,8,NBA 2014-2015 Preseason Players Statistic
Justin Cobbs,CHA,2,9.1,2,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,NBA 2014-2015 Preseason Players Statistic
Victor Claver,POR,5,22.6,10,3,6,0.5,0,2,0.0,4,4,1.0,2,0,2,0,0,0,2,2,NBA 2014-2015 Preseason Players Statistic
Jordan Clarkson,LAL,4,86.3,38,12,35,0.343,3,10,0.3,11,11,1.0,4,6,10,4,2,0,4,7,NBA 2014-2015 Preseason Players Statistic
Ian Clark,UTA,6,130.7,32,12,29,0.414,4,14,0.286,4,5,0.8,2,5,7,14,0,0,8,11,NBA 2014-2015 Preseason Players Statistic
Earl Clark,MEM,4,49.9,21,9,19,0.474,0,2,0.0,3,6,0.5,5,6,11,5,4,2,3,2,NBA 2014-2015 Preseason Players Statistic
Patrick Christopher,MEM,8,78.8,36,14,31,0.452,5,13,0.385,3,4,0.75,4,1,5,3,2,0,2,8,NBA 2014-2015 Preseason Players Statistic
Dionte Christmas,NOP,1,4.3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,0,NBA 2014-2015 Preseason Players Statistic
Will Cherry,TOR,5,69.4,17,6,20,0.3,1,7,0.143,4,8,0.5,0,4,4,8,4,1,7,5,NBA 2014-2015 Preseason Players Statistic
Wilson Chandler,DEN,8,149.8,65,24,44,0.545,7,17,0.412,10,14,0.714,8,17,25,12,6,1,4,18,NBA 2014-2015 Preseason Players Statistic
Tyson Chandler,DAL,6,118.6,43,15,31,0.484,0,0,0.0,13,14,0.929,20,17,37,1,1,4,6,12,NBA 2014-2015 Preseason Players Statistic
Mario Chalmers,MIA,7,151.7,63,17,33,0.515,7,16,0.438,22,29,0.759,2,16,18,12,14,1,11,17,NBA 2014-2015 Preseason Players Statistic
Gege Chaia,FLA,3,57.8,10,2,9,0.222,1,6,0.167,5,6,0.833,0,3,3,12,2,0,10,7,NBA 2014-2015 Preseason Players Statistic
Serhat Cetin,FEN,1,12.4,0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,NBA 2014-2015 Preseason Players Statistic
Omri Casspi,SAC,5,88.7,47,14,36,0.389,2,12,0.167,17,26,0.654,3,17,20,3,0,3,10,7,NBA 2014-2015 Preseason Players Statistic
Vince Carter,MEM,6,79.6,35,12,29,0.414,6,15,0.4,5,7,0.714,3,8,11,7,1,3,11,11,NBA 2014-2015 Preseason Players Statistic
DeMarre Carroll,ATL,6,144.5,47,15,42,0.357,3,17,0.176,14,18,0.778,9,18,27,8,5,1,6,16,NBA 2014-2015 Preseason Players Statistic
Derrick Caracter,FLA,3,21.6,0,0,4,0.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,4,2,NBA 2014-2015 Preseason Players Statistic
Isaiah Canaan,HOU,7,93.6,73,21,44,0.477,10,20,0.5,21,30,0.7,5,8,13,13,3,0,5,7,NBA 2014-2015 Preseason Players Statistic
Kentavious Caldwell-Pope,DET,3,82.4,50,18,35,0.514,7,15,0.467,7,9,0.778,1,5,6,4,3,0,5,7,NBA 2014-2015 Preseason Players Statistic
Jose Calderon,NYK,5,85.8,29,11,23,0.478,5,9,0.556,2,2,1.0,0,11,11,12,5,0,3,7,NBA 2014-2015 Preseason Players Statistic
Nick Calathes,MEM,7,105.0,34,13,23,0.565,2,5,0.4,6,9,0.667,1,6,7,15,3,1,8,16,NBA 2014-2015 Preseason Players Statistic
Bruno Caboclo,TOR,5,68.7,21,8,20,0.4,4,11,0.364,1,2,0.5,3,7,10,0,3,1,5,6,NBA 2014-2015 Preseason Players Statistic
Rasual Butler,WAS,6,101.5,34,13,33,0.394,4,10,0.4,4,4,1.0,1,9,10,6,1,1,4,5,NBA 2014-2015 Preseason Players Statistic
Jimmy Butler,CHI,6,155.5,95,30,51,0.588,1,5,0.2,34,43,0.791,13,15,28,14,10,6,9,6,NBA 2014-2015 Preseason Players Statistic
Caron Butler,DET,6,135.5,34,11,28,0.393,6,18,0.333,6,7,0.857,0,27,27,8,5,0,4,12,NBA 2014-2015 Preseason Players Statistic
Alec Burks,UTA,5,161.4,88,25,55,0.455,2,9,0.222,36,49,0.735,1,20,21,10,7,1,19,16,NBA 2014-2015 Preseason Players Statistic
Trey Burke,UTA,7,206.5,111,42,91,0.462,17,36,0.472,10,17,0.588,4,19,23,38,6,0,12,8,NBA 2014-2015 Preseason Players Statistic
Reggie Bullock,LAC,7,67.2,12,5,16,0.313,2,8,0.25,0,1,0.0,2,9,11,4,2,0,3,6,NBA 2014-2015 Preseason Players Statistic
Chase Budinger,MIN,6,128.7,62,23,47,0.489,9,19,0.474,7,10,0.7,8,13,21,5,8,2,4,14,NBA 2014-2015 Preseason Players Statistic
Kobe Bryant,LAL,6,160.4,114,40,101,0.396,3,9,0.333,31,43,0.721,3,15,18,24,10,1,20,13,NBA 2014-2015 Preseason Players Statistic
Shannon Brown,MIA,6,88.5,26,10,24,0.417,0,3,0.0,6,7,0.857,2,9,11,2,5,2,4,3,NBA 2014-2015 Preseason Players Statistic
Markel Brown,BRK,2,18.7,0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,2,NBA 2014-2015 Preseason Players Statistic
Lorenzo Brown,DET,2,5.7,0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,NBA 2014-2015 Preseason Players Statistic
Jabari Brown,LAL,4,22.2,5,2,5,0.4,1,2,0.5,0,0,0.0,0,2,2,1,0,0,3,3,NBA 2014-2015 Preseason Players Statistic
Aaron Brooks,CHI,8,156.2,65,22,59,0.373,10,26,0.385,11,11,1.0,6,5,11,21,6,1,14,22,NBA 2014-2015 Preseason Players Statistic
Corey Brewer,MIN,6,126.1,49,21,41,0.512,1,4,0.25,6,8,0.75,1,17,18,7,6,0,4,13,NBA 2014-2015 Preseason Players Statistic
Elton Brand,ATL,5,64.3,11,5,11,0.455,0,0,0.0,1,2,0.5,8,14,22,5,0,5,5,12,NBA 2014-2015 Preseason Players Statistic
Avery Bradley,BOS,8,163.3,96,40,80,0.5,15,32,0.469,1,3,0.333,1,8,9,7,6,1,9,10,NBA 2014-2015 Preseason Players Statistic
Josh Bostic,DET,2,5.9,0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,NBA 2014-2015 Preseason Players Statistic
Chris Bosh,MIA,7,199.4,132,46,93,0.495,5,18,0.278,35,46,0.761,9,42,51,10,5,6,13,12,NBA 2014-2015 Preseason Players Statistic
Carlos Boozer,LAL,7,174.9,88,35,75,0.467,0,0,0.0,18,18,1.0,10,21,31,13,13,3,9,17,NBA 2014-2015 Preseason Players Statistic
Trevor Booker,UTA,7,113.8,45,17,41,0.415,3,10,0.3,8,12,0.667,11,17,28,7,3,2,7,21,NBA 2014-2015 Preseason Players Statistic
Matt Bonner,SAS,6,66.8,24,9,14,0.643,4,7,0.571,2,2,1.0,0,8,8,2,1,2,5,11,NBA 2014-2015 Preseason Players Statistic
Andrew Bogut,GSW,6,131.7,32,15,19,0.789,0,0,0.0,2,10,0.2,6,28,34,26,6,7,5,14,NBA 2014-2015 Preseason Players Statistic
Bojan Bogdanovic,BRK,6,166.4,42,14,40,0.35,5,22,0.227,9,13,0.692,1,12,13,11,2,3,10,7,NBA 2014-2015 Preseason Players Statistic
Bogdan Bogdanovic,FEN,1,18.5,5,2,8,0.25,1,4,0.25,0,0,0.0,0,3,3,2,1,0,3,5,NBA 2014-2015 Preseason Players Statistic
Eric Bledsoe,PHX,7,171.7,105,35,62,0.565,7,15,0.467,28,40,0.7,3,18,21,27,10,5,15,15,NBA 2014-2015 Preseason Players Statistic
Steve Blake,POR,5,105.6,19,7,23,0.304,3,13,0.231,2,2,1.0,4,6,10,25,3,0,11,8,NBA 2014-2015 Preseason Players Statistic
DeJuan Blair,WAS,8,170.0,42,20,43,0.465,0,0,0.0,2,10,0.2,12,30,42,8,9,1,15,29,NBA 2014-2015 Preseason Players Statistic
Tarik Black,HOU,8,146.8,46,17,33,0.515,0,0,0.0,12,20,0.6,18,30,48,2,7,3,13,29,NBA 2014-2015 Preseason Players Statistic
Nemanja Bjelica,FEN,1,21.2,6,1,7,0.143,0,4,0.0,4,4,1.0,1,4,5,3,0,0,0,2,NBA 2014-2015 Preseason Players Statistic
Bismack Biyombo,CHA,7,120.7,25,8,22,0.364,0,0,0.0,9,15,0.6,11,27,38,3,1,7,7,18,NBA 2014-2015 Preseason Players Statistic
Khem Birch,MIA,6,101.5,9,4,15,0.267,0,0,0.0,1,7,0.143,14,19,33,6,6,7,5,11,NBA 2014-2015 Preseason Players Statistic
Sim Bhullar,SAC,2,2.5,2,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,NBA 2014-2015 Preseason Players Statistic
Patrick Beverley,HOU,8,155.0,64,25,55,0.455,11,25,0.44,3,3,1.0,5,9,14,17,5,0,9,23,NBA 2014-2015 Preseason Players Statistic
Tomer Ber Aven,MAC,4,42.2,0,0,5,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,1,NBA 2014-2015 Preseason Players Statistic
Anthony Bennett,MIN,6,111.5,60,24,49,0.49,0,1,0.0,12,15,0.8,11,24,35,2,7,1,4,7,NBA 2014-2015 Preseason Players Statistic
