Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Title
Mire Chatman,LAC,2,12.0,7,3,3,1.0,0,0,0.0,1,2,0.5,0,1,1,1,1,0,2,3,NBA 2005-2006 Summer_League Players Statistic
Marquin Chandler,SAC,4,30.0,11,5,11,0.455,1,2,0.5,0,0,0.0,0,8,8,1,0,0,0,6,NBA 2005-2006 Summer_League Players Statistic
Lionel Chalmers,LAC,5,132.0,36,8,42,0.19,3,19,0.158,17,22,0.773,0,13,13,11,5,0,9,9,NBA 2005-2006 Summer_League Players Statistic
Matt Carroll,CHA,6,182.0,96,29,67,0.433,7,16,0.438,31,42,0.738,2,18,20,12,11,3,12,21,NBA 2005-2006 Summer_League Players Statistic
Marcus Campbell,SAC,2,18.0,5,2,6,0.333,0,0,0.0,1,2,0.5,3,6,9,0,0,1,2,6,NBA 2005-2006 Summer_League Players Statistic
Zarko Cabarkapa,GSW,3,77.0,42,13,31,0.419,0,6,0.0,16,19,0.842,2,9,11,5,1,0,13,12,NBA 2005-2006 Summer_League Players Statistic
Rashid Byrd,SEA,5,39.0,7,3,8,0.375,0,0,0.0,1,2,0.5,1,2,3,0,0,1,2,12,NBA 2005-2006 Summer_League Players Statistic
Will Bynum,BOS,6,138.0,25,10,38,0.263,0,1,0.0,5,10,0.5,1,13,14,16,5,0,17,20,NBA 2005-2006 Summer_League Players Statistic
Jackie Butler,NYK,5,91.0,32,13,22,0.591,0,0,0.0,6,10,0.6,8,18,26,5,0,3,8,22,NBA 2005-2006 Summer_League Players Statistic
Kevin Burleson,CHA,6,73.0,23,6,18,0.333,3,8,0.375,8,10,0.8,0,1,1,5,3,0,4,16,NBA 2005-2006 Summer_League Players Statistic
Damone Brown,WAS,5,31.0,10,2,13,0.154,0,4,0.0,6,6,1.0,3,2,5,0,2,2,1,4,NBA 2005-2006 Summer_League Players Statistic
Andre Brown,SEA,6,95.0,28,10,19,0.526,0,0,0.0,8,16,0.5,10,12,22,2,1,0,8,17,NBA 2005-2006 Summer_League Players Statistic
Jamison Brewer,DAL,2,23.0,2,1,2,0.5,0,0,0.0,0,0,0.0,0,7,7,0,0,0,1,1,NBA 2005-2006 Summer_League Players Statistic
Bryan Bracey,CLE,2,14.0,3,1,3,0.333,0,0,0.0,1,2,0.5,1,2,3,0,0,0,2,2,NBA 2005-2006 Summer_League Players Statistic
Jermaine Boyette,UTA,6,43.0,14,5,12,0.417,0,0,0.0,4,12,0.333,1,1,2,0,0,0,8,10,NBA 2005-2006 Summer_League Players Statistic
